test,year,school,county,city,math,reading,writing,english,science,total
ACT,2011,CALVIN NELMS HIGH SCHOOL,harris,HOUSTON,NA,20,NA,17.7,19,19
ACT,2011,CAMERON YOE HIGH SCHOOL,milam,HUNTSVILLE,NA,NA,NA,16.7,19.9,18.8
ACT,2011,CAMPBELL,hunt,RICHARDSON,NA,20,NA,20.3,18.3,19.3
ACT,2011,CANADIAN,hemphill,AMARILLO,NA,NA,NA,19.5,20,20.5
ACT,2011,CANEY CREEK,montgomery,HUNTSVILLE,NA,NA,NA,16.9,19.2,18.9
ACT,2011,CANTON,van zandt,RICHARDSON,NA,NA,NA,20.3,22,21.5
ACT,2011,CANUTILLO,el paso,EL PASO,NA,NA,NA,15,17.8,17.2
ACT,2011,CANYON,comal,AUSTIN,NA,NA,NA,21.4,22.4,22.6
ACT,2011,CANYON,randall,AMARILLO,NA,NA,NA,21.8,22.7,22.5
ACT,2011,CANYON LAKE,comal,AUSTIN,NA,NA,NA,19.9,21.1,21.2
ACT,2011,CAPROCK,potter,AMARILLO,19,NA,NA,15.4,18.4,17.6
ACT,2011,CARL WUNSCHE SR,harris,HOUSTON,NA,NA,NA,17.3,18.9,18.6
ACT,2011,CARLISLE SCHOOL,rusk,KILGORE,NA,NA,NA,15.5,17.3,17.2
ACT,2011,CARNEGIE VANGUARD,harris,HOUSTON,NA,NA,NA,27.7,27,27.7
ACT,2011,CARRIZO SPRINGS,dimmit,SAN ANTONIO,NA,NA,NA,14.4,16.9,16.7
ACT,2011,CARROLL,nueces,CORPUS CHRISTI,NA,NA,NA,19.5,20,20.4
ACT,2011,CARROLL SENIOR,tarrant,FORT WORTH,NA,NA,NA,25.4,25,25.7
ACT,2011,CARTER-RIVERSIDE,tarrant,FORT WORTH,NA,18,NA,14.8,17.6,17.2
ACT,2011,CARTHAGE,panola,KILGORE,NA,NA,NA,18.8,20.1,19.9
ACT,2011,CARVER H S FOR APPLIED TECH/ENGINE,harris,HOUSTON,21,NA,NA,18.7,19.5,19.5
ACT,2011,CASTLEBERRY,tarrant,FORT WORTH,NA,NA,NA,18.4,19.8,19.6
ACT,2011,CAYUGA,anderson,KILGORE,NA,NA,NA,17.5,17.2,18.7
ACT,2011,CEDAR HILL HIGH SCHOOL,dallas,RICHARDSON,NA,NA,NA,17,18.8,18.3
ACT,2011,CEDAR PARK,williamson,AUSTIN,NA,NA,NA,23.6,24.1,24.4
ACT,2011,CELESTE,hunt,RICHARDSON,NA,NA,NA,19.8,20.5,20.7
ACT,2011,CELINA,collin,RICHARDSON,23,NA,NA,21.6,22.9,22.6
ACT,2011,CENTENNIAL HIGH SCHOOL,collin,RICHARDSON,NA,NA,NA,23.3,23.3,23.8
ACT,2011,CENTER,shelby,KILGORE,NA,NA,NA,15.4,18.1,17.3
ACT,2011,CENTER POINT,kerr,SAN ANTONIO,NA,NA,NA,22.7,23.4,22.3
ACT,2011,CENTERVILLE,trinity,HUNTSVILLE,NA,14,NA,13.7,13,15.2
ACT,2011,CENTERVILLE JR-SR,leon,HUNTSVILLE,NA,NA,NA,19.5,21.5,21.2
ACT,2011,CENTRAL,angelina,KILGORE,NA,NA,NA,26,23.7,26
ACT,2011,CENTRAL,tarrant,FORT WORTH,NA,NA,NA,21.2,22,22.3
ACT,2011,CENTRAL,tom green,SAN ANGELO,NA,NA,NA,19.5,21,20.9
ACT,2011,CENTRAL HEIGHTS,nacogdoches,KILGORE,NA,NA,NA,22.7,22.4,23.2
ACT,2011,CENTRAL SENIOR,jefferson,BEAUMONT,NA,14,NA,13.4,15.2,14.8
ACT,2011,CHALLENGE EARLY COLLEGE,harris,HOUSTON,NA,NA,NA,20.2,19.1,20.3
ACT,2011,CHALLENGE H S SHEFFIELD,pecos,MIDLAND,NA,NA,NA,13.5,18,16.8
ACT,2011,CHANNELVIEW,harris,HOUSTON,NA,NA,NA,15,16.9,17
ACT,2011,CHANNING SCHOOL,hartley,AMARILLO,NA,NA,NA,20.3,20.3,20.4
ACT,2011,CHAPEL HILL,smith,KILGORE,NA,NA,NA,16.9,19.3,18.6
ACT,2011,CHAPEL HILL,titus,MT PLEASANT,NA,NA,NA,21.1,21.1,21.5
ACT,2011,CHAPIN,el paso,EL PASO,21,NA,NA,19.2,20.8,20.4
ACT,2011,CHARLOTTE,atascosa,SAN ANTONIO,NA,NA,NA,15.3,17.9,16.9
ACT,2011,CHAVEZ,harris,HOUSTON,NA,NA,NA,14.7,17.2,16.7
ACT,2011,CHEROKEE SCHOOL,san saba,SAN ANGELO,NA,NA,NA,NA,NA,NA
ACT,2011,CHESTER,tyler,BEAUMONT,NA,NA,NA,19,18.7,19.8
ACT,2011,CHICO,wise,FORT WORTH,NA,NA,NA,14.7,17.2,16.5
ACT,2011,CHILDRESS,childress,AMARILLO,NA,NA,NA,17.2,17.9,18.6
ACT,2011,CHILLICOTHE,hardeman,WICHITA FALLS,NA,NA,NA,14,19,16.8
ACT,2011,CHILTON SCHOOL,falls,WACO,NA,NA,NA,13.8,16.4,16
ACT,2011,CHINA SPRING,mclennan,WACO,NA,NA,NA,23.1,23,23.6
ACT,2011,CHIP RICHARTE,williamson,AUSTIN,NA,NA,NA,19.2,19.6,19.8
ACT,2011,CHIRENO,nacogdoches,KILGORE,NA,NA,NA,21.7,20.8,21.6
ACT,2011,CHISUM,lamar,MT PLEASANT,NA,23,NA,21.2,22.5,22.3
ACT,2011,CHRISTOVAL,tom green,SAN ANGELO,NA,NA,NA,20.2,21,21.4
ACT,2011,CHURCHILL,bexar,SAN ANTONIO,NA,NA,NA,22.4,22.9,23
ACT,2011,CINCO RANCH,harris,HOUSTON,NA,NA,NA,24.6,24.6,25.2
ACT,2011,CISCO,eastland,ABILENE,23,NA,NA,21.4,21,21.9
ACT,2011,CITY VIEW JUNIOR/SENIOR HIGH,wichita,WICHITA FALLS,NA,22,NA,19.3,20.7,21
ACT,2011,CLARENDON,donley,AMARILLO,NA,NA,NA,21,20.5,20.6
ACT,2011,CLARK,bexar,SAN ANTONIO,NA,NA,NA,21.8,22.9,23
ACT,2011,CLARKSVILLE,red river,MT PLEASANT,NA,NA,NA,16.6,18.6,18.4
ACT,2011,CLAUDE,armstrong,AMARILLO,NA,NA,NA,19.1,20.2,20.5
ACT,2011,CLEAR BROOK,galveston,HOUSTON,23,NA,NA,21.1,22.4,22.4
ACT,2011,CLEAR CREEK,galveston,HOUSTON,NA,NA,NA,21.2,22,22.2
ACT,2011,CLEAR HORIZONS EARLY COLLEGE,galveston,HOUSTON,NA,NA,NA,26.4,25.1,26.4
ACT,2011,CLEAR LAKE,galveston,HOUSTON,NA,NA,NA,24.2,24.9,25.3
ACT,2011,CLEAR SPRINGS,galveston,HOUSTON,NA,NA,NA,21,22.3,22.1
ACT,2011,CLEAR VIEW EDUCATION CENTER,galveston,HOUSTON,NA,NA,NA,16.7,18.1,18
ACT,2011,CLEBURNE,johnson,FORT WORTH,NA,NA,NA,21.1,21.7,22.1
ACT,2011,CLEMENTS,fort bend,HOUSTON,NA,NA,NA,25.9,25.8,26.5
ACT,2011,CLEVELAND,liberty,HOUSTON,NA,NA,NA,17.9,18.1,19.1
ACT,2011,CLIFTON,bosque,WACO,NA,NA,NA,18,20.2,19.7
ACT,2011,CLINT HIGH SCHOOL,el paso,EL PASO,20,NA,NA,18.2,19.6,19.8
ACT,2011,CLYDE,callahan,ABILENE,NA,NA,NA,18.8,20.8,19.8
ACT,2011,COAHOMA,howard,MIDLAND,NA,NA,NA,19,20.3,20
ACT,2011,COLDSPRING-OAKHURST HIGH SCHOOL,san jacinto,HUNTSVILLE,19,NA,NA,16.6,18.4,18.2
ACT,2011,COLEMAN,coleman,SAN ANGELO,NA,NA,NA,17.5,19.6,19.3
ACT,2011,COLLEGE PARK,montgomery,HUNTSVILLE,NA,NA,NA,24.8,24.9,25.5
ACT,2011,COLLEGIATE,nueces,CORPUS CHRISTI,NA,NA,NA,20.2,20.4,20.8
ACT,2011,COLLEYVILLE HERITAGE,tarrant,FORT WORTH,NA,NA,NA,23.9,24.2,24.5
ACT,2011,COLLINSVILLE,grayson,RICHARDSON,NA,NA,NA,19.8,19.9,20.3
ACT,2011,COLMESNEIL,tyler,BEAUMONT,20,NA,NA,19.4,18,19.6
ACT,2011,COLORADO HIGH SCHOOL,mitchell,ABILENE,NA,NA,NA,17.6,19.3,19
ACT,2011,COLUMBIA,brazoria,HOUSTON,NA,NA,NA,20.8,21.9,21.7
ACT,2011,COLUMBUS HIGH SCHOOL,colorado,VICTORIA,NA,NA,NA,18.1,19.7,19.8
ACT,2011,COMANCHE,comanche,ABILENE,21,NA,NA,17.5,20.1,19.6
ACT,2011,COMFORT,kendall,AUSTIN,NA,NA,NA,17.1,19.7,19.3
ACT,2011,COMMERCE,hunt,RICHARDSON,NA,NA,NA,20.4,21.9,21.6
ACT,2011,COMMUNITY,collin,RICHARDSON,NA,NA,NA,19,19.8,20
ACT,2011,COMO-PICKTON SCHOOL,hopkins,MT PLEASANT,NA,NA,NA,17.2,19,18.6
ACT,2011,COMPASS CENTER,cherokee,KILGORE,NA,NA,NA,NA,NA,NA
ACT,2011,COMSTOCK SCHOOL,val verde,SAN ANGELO,NA,NA,NA,18.6,18.4,18.8
ACT,2011,CONNALLY HIGH SCHOOL,mclennan,WACO,20,NA,NA,17.6,19.4,19.3
ACT,2011,CONROE,montgomery,HUNTSVILLE,22,NA,NA,19.6,21.2,21.1
ACT,2011,CONTEMPORARY LRN CTR,harris,HOUSTON,NA,NA,NA,11.5,15.8,14.2
ACT,2011,COOLIDGE,limestone,WACO,NA,NA,NA,15,18.7,17.1
ACT,2011,COOPER,delta,MT PLEASANT,NA,NA,NA,17.7,20,19.3
ACT,2011,COOPER,taylor,ABILENE,22,21,NA,20.2,21.2,21.3
ACT,2011,COPPELL,dallas,RICHARDSON,NA,25,NA,24.4,24.3,25.2
